y_true,y_pred,abs_err,rel_err_%
250781651.3,397095870.0,146314220.7,58.343271902684045
254678513.5,346227040.0,91548526.5,35.94670207622364
369163728.2,355615140.0,13548592.199999988,3.670076761349597
272921662.4,283705020.0,10783361.600000024,3.9510830709347258
350129054.6,341451420.0,8677630.600000024,2.4784091711308163
378345832.0,370105120.0,8240712.0,2.1780898064710277
363936414.2,355853980.0,8082430.199999988,2.2208358066522895
358933504.8,351663230.0,7270272.800000012,2.0255208005870204
346142688.9,339217100.0,6925600.899999976,2.0007936386028278
359315112.7,365652350.0,6337239.300000012,1.7636996263196731
305239168.3,298911870.0,6327296.300000012,2.0728978968325973
338225833.2,343768000.0,5542166.800000012,1.6385994965449056
386560826.8,391547680.0,4986853.199999988,1.2900565329606202
340110214.7,344933150.0,4822937.300000012,1.4180512938296093
294380812.3,289818660.0,4562156.300000012,1.5497464880118519
369239047.3,364704400.0,4534663.300000012,1.2281104431286436
316540405.7,320987940.0,4447530.300000012,1.4050434699370236
351251776.4,346822560.0,4429216.399999976,1.2609804982042438
406039965.7,409930080.0,3890114.300000012,0.958061922129655
335756969.8,339630140.0,3873174.199999988,1.1535647948893266
